the_geom,other_names_1,cartodb_georef_status,iu_archives_number,latitude,longitude,purl,image_url,archive_date,description_from_notebook,description_from_slide_mount,image_note,slide_condition,city_and_state,geocoordinates,personal_names_1,corporate_names_1,cartodb_id,genre_1,genre_2,topical_subject_headings_1,topical_subject_headings_2,topical_subject_headings_3,topical_subject_headings_4,topical_subject_headings_5,topical_subject_headings_6,topical_subject_headings_7,topical_subject_headings_8,topical_subject_headings_9,topical_subject_headings_10,topical_subject_headings_11,topical_subject_headings_12,other_1,date
0101000020E610000070D7A60CF7E755C0626E522C12F04440,,FALSE,2946,41.8755546,-87.6244537,http://purl.dlib.indiana.edu/iudl/archives/cushman/P02946,http://webapp1.dlib.indiana.edu/collections/cushman/full/P02946.jpg,"Jun. 10, 1945",Pamela at play in blue overalls Jackson Pk.,Pamela at play,,,"Chicago, Illinois","41.8755546, -87.6244537",,,748,Identification photographs,,Children,,,,,,,,,,,,"Jackson Park (Chicago, Ill.)",1945-06-10 00:00:00+00
,,FALSE,3042,,,http://purl.dlib.indiana.edu/iudl/archives/cushman/P03042,http://webapp1.dlib.indiana.edu/collections/cushman/full/P03042.jpg,"Oct. 13, 1945","Tree tops, red and green, in sun. ST. Philips","Contrasing tree topsSt. Philip, ind",,"Image was originally mounted in a glass enclosure. Before digitization, the imagewas removed and placed in a Wess Plastic, Inc. brand, 2"" x 2"", plastic mount. The description from the slide mount was then transferred to the new mount by the staff of the University Archives. The transferred information was checked against the data on the original slide mount for accuracy. The original mounts have been kept with the Cushman collection.","Saint Phillip, Indiana",,,,3247,Identification photographs,,Trees,,,,,,,,,,,,,1945-10-13 00:00:00+00
0101000020E610000029BAE46EC69A5EC03333333333E34240,Sargent's hydrangea,FALSE,7182,37.775,-122.4183614,http://purl.dlib.indiana.edu/iudl/archives/cushman/P07182,http://webapp1.dlib.indiana.edu/collections/cushman/full/P07182.jpg,"Jul. 28, 1954",Sargent's Hydrangea (Central China) - broad flat flowerscenter violet colored,Sargent's Hydrangea (from central China)Golden Gate ParkArboretum,,Anscochrome film.,"San Francisco, California","37.775, -122.4183614",,,3637,Identification photographs,,Shrubs,Flowers,,,,,,,,,,,Hydrangeas,1954-07-28 00:00:00+00
0101000020E61000006E686F954CF955C05E9CF86A47F84240,,FALSE,2627,37.9396795,-87.8952993,http://purl.dlib.indiana.edu/iudl/archives/cushman/P02627,http://webapp1.dlib.indiana.edu/collections/cushman/full/P02627.jpg,"Jun. 6, 1942",Cluster of lilies on single stalk.,Lilies at Mount Vernon Indiana,,,"Mount Vernon, Indiana","37.9396795, -87.8952993",,,2658,Identification photographs,,Lilies,Flowers,,,,,,,,,,,,1942-06-06 00:00:00+00
0101000020E610000093437A40CF8D5DC0588D25AC8D6F4140,,FALSE,7087,34.871511,-118.2157747,http://purl.dlib.indiana.edu/iudl/archives/cushman/P07087,http://webapp1.dlib.indiana.edu/collections/cushman/full/P07087.jpg,"Nov. 23, 1953",Desert mountain in color.  Near Rosamond,Mojave desert mountains west of US 6 near RosamondKern county Calif.,,,"Rosamond, California","34.871511, -118.21577465",,,3173,Landscape photographs,,Mountains,Hills,Grasses,Shrubs,Deserts,Houses,,,,,,,Mojave Desert (Calif.),1953-11-23 00:00:00+00
,,FALSE,1422,,,http://purl.dlib.indiana.edu/iudl/archives/cushman/P01422,http://webapp1.dlib.indiana.edu/collections/cushman/full/P01422.jpg,"Sep. 4, 1938",A-19=Cal. Landscape near Willits Mendocino county,"A-19=side road of U.S. 101near Willits, Calif.",,"magenta cast [fading of yellow dye], masked.","Willits, California",,,,5355,Landscape photographs,,Automobiles,Fences,,,,,,,,,,,Wooden fences,1938-09-04 00:00:00+00
,,FALSE,1423,,,http://purl.dlib.indiana.edu/iudl/archives/cushman/P01423,http://webapp1.dlib.indiana.edu/collections/cushman/full/P01423.jpg,"Sep. 4, 1938",A-21=Hay truck breaks down on US 101,A 21= Hay truck breaks down north of Willits.,,"magenta cast [fading of yellow dye], gap between film & mount. Image was originally mounted in a glass enclosure. Before digitization, the imagewas removed and placed in a Wess Plastic, Inc. brand, 2"" x 2"", plastic mount. The description from the slide mount was then transferred to the new mount by the staff of the University Archives. The transferred information was checked against the data on the original slide mount for accuracy. The original mounts have been kept with the Cushman collection.","Willits, California",,,,5356,Snapshots,,Trees,Roads,Hay,Trucks,Shrubs,Accidents,,,,,,,,1938-09-04 00:00:00+00
0101000020E6100000B86B53863B0756C04FE0E70995EE4440,,FALSE,3949,41.8639233,-88.1130081,http://purl.dlib.indiana.edu/iudl/archives/cushman/P03949,http://webapp1.dlib.indiana.edu/collections/cushman/full/P03949.jpg,16199,Three blooming Crabs + a Lilac.- old Morton entrance drive- Arb. West.,Old Morton entrance drive- Arb. W.,,,"Wheaton, Illinois","41.8639233, -88.1130081",,Morton Arboretum,4994,Identification photographs,,Lilacs,Botanical gardens,Flowers,Trees,Shrubs,Shadows,Apples,Fruit trees,,,,,,1948-05-08 00:00:00+00
0101000020E6100000E89C4429C69A5EC03333333333E34240,,FALSE,6521,37.775,-122.4183448,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06521,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06521.jpg,Jan. 1955,,at Page and [Broderick],Image is of Charles W. Cushman.,,"San Francisco, California","37.775, -122.4183448","Cushman, Charles W. (Charles Weever), 1896-1972",,3471,Portraits,,Smiling,Men,Mustaches,,,,,,,,,,,1955-01-01 00:00:00+00
0101000020E6100000A1D6D935C69A5EC03333333333E34240,,FALSE,6562,37.775,-122.4183478,http://purl.dlib.indiana.edu/iudl/archives/cushman/P06562,http://webapp1.dlib.indiana.edu/collections/cushman/full/P06562.jpg,"Feb. 9, 1953",Matson liner Lurline outward bound at 4 PM.,Matson liner LURLINE outbound.,,,"San Francisco, California","37.775, -122.4183478",,Matson Lines,3501,Marine photographs,,Ocean liners,Bodies of water,Marine terminals,Automobiles,Shrubs,Streets,Trees,Buildings,,Cargo ships,,,,1953-02-09 00:00:00+00
